基金類型,基金名稱,基金統編,手續費,保管費,經理人姓名,性別,學歷,經理人,期間(月),操作績效(%),台股績效(%),begin_date,end_date
國內股票開放型一般股票型,兆豐國際第一基金,00965469,2.0,0.15,林長杰,男,美國紐約雪城大學企研所,林長杰,23,14.68,66.62,1996-01-08,1997-12-29
國內股票開放型一般股票型,兆豐國際第一基金,00965469,2.0,0.15,趙冠宇,男,美國紐約大學企管碩士中興大學企管系學士,趙冠宇,18,-33.76,-25.13,1994-07-20,1996-01-07
國內股票開放型一般股票型,統一經建基金,81581724,1.4,0.15,陳釧瑤,女,中央大學產業經濟研究所,陳釧瑤,0,-2.56,-0.16,2021-08-01,
國內股票開放型一般股票型,統一經建基金,81581724,1.4,0.15,劉彥伯,男,中央大學財金碩士,劉彥伯,17,76.79,48.52,2020-02-10,2021-07-31
國內股票開放型一般股票型,統一經建基金,81581724,1.4,0.15,朱文燕,女,雲林科技大學企管所碩士,朱文燕,37,63.5,25.5,2017-01-01,2020-02-09
國內股票開放型一般股票型,統一經建基金,81581724,1.4,0.15,范淑芬,女,美國國際大學企管碩士,范淑芬,36,32.07,10.46,2013-12-16,2016-12-31
國內股票開放型一般股票型,統一經建基金,81581724,1.4,0.15,錢素惠,女,淡江大學財務金融系,錢素惠,5,5.08,3.9,2013-07-01,2013-12-15
國內股票開放型一般股票型,統一經建基金,81581724,1.4,0.15,范淑芬,女,美國國際大學企管碩士,范淑芬,41,19.41,-1.54,2010-01-01,2013-06-30
國內股票開放型一般股票型,統一經建基金,81581724,1.4,0.15,陳達勳,男,政治大學國貿研究所,陳達勳,11,70.02,78.34,2009-01-01,2009-12-31
國內股票開放型一般股票型,統一經建基金,81581724,1.4,0.15,董永寬,男,政治大學統計研究所,董永寬,6,-38.0,-40.67,2008-06-25,2008-12-31
國內股票開放型一般股票型,統一經建基金,81581724,1.4,0.15,錢素惠,女,淡江大學財務金融系,錢素惠,1,-13.91,-13.25,2008-05-01,2008-06-24
國內股票開放型一般股票型,統一經建基金,81581724,1.4,0.15,盧正穎,男,台灣大學商學研究所,盧正穎,11,22.23,9.92,2007-05-08,2008-04-30
國內股票開放型一般股票型,統一經建基金,81581724,1.4,0.15,董永寬,男,政治大學統計研究所,董永寬,38,63.01,23.37,2004-03-18,2007-05-07
國內股票開放型一般股票型,統一經建基金,81581724,1.4,0.15,趙永宏,男,美國紐約州立大學企管碩士台灣大學機械系研究所,趙永宏,59,15.65,-11.9,1999-04-16,2004-03-17
國內股票開放型一般股票型,統一經建基金,81581724,1.4,0.15,吳博全,男,,吳博全,18,-7.1,-4.18,1997-10-23,1999-04-15
國內股票開放型一般股票型,安聯台灣大壩基金-A累積型(台幣),17604124A,4.0,0.15,蕭惠中,女,朝陽科技大學 財務金融碩士,蕭惠中,76,316.05,79.63,2015-04-01,
國內股票開放型一般股票型,安聯台灣大壩基金-A累積型(台幣),17604124A,4.0,0.15,鍾兆陽,男,淡江大學產業經濟研究所,鍾兆陽,102,115.7,39.23,2006-09-29,2015-03-31
國內股票開放型一般股票型,安聯台灣大壩基金-A累積型(台幣),17604124A,4.0,0.15,藍文彥,男,美國Drexel University企管碩士,藍文彥,13,28.67,13.81,2005-08-30,2006-09-28
國內股票開放型一般股票型,安聯台灣大壩基金-A累積型(台幣),17604124A,4.0,0.15,李志輝,男,美國伊利諾州立大學香檳分校財務碩士,李志輝,21,9.45,1.63,2003-11-18,2005-08-29
國內股票開放型一般股票型,安聯台灣大壩基金-A累積型(台幣),17604124A,4.0,0.15,蕭正義,男,University of Michigan 密西根大學 MBA國立政治大學經濟系學士,蕭正義,6,17.99,16.43,2003-02-17,2003-08-10
國內股票開放型一般股票型,安聯台灣大壩基金-A累積型(台幣),17604124A,4.0,0.15,邱顯誠,男,輔仁大學統計系學士美國Hartford大學保險學碩士,邱顯誠,11,-40.34,-26.3,2002-03-07,2003-02-16
國內股票開放型一般股票型,安聯台灣大壩基金-A累積型(台幣),17604124A,4.0,0.15,謝上元,男,國立政治大學國貿所國立政治大學國貿系,謝上元,23,-34.8,-39.79,2000-04-10,2002-03-06
國內股票開放型一般股票型,統一台灣動力基金,48934304,1.4,0.15,張哲瑋,男,臺灣大學經濟學系碩士,張哲瑋,0,-2.8,-0.16,2021-08-01,
國內股票開放型一般股票型,統一台灣動力基金,48934304,1.4,0.15,劉彥伯,男,中央大學財金碩士,劉彥伯,54,245.34,86.39,2017-01-01,2021-07-31
國內股票開放型一般股票型,統一台灣動力基金,48934304,1.4,0.15,林彥良,男,政治大學會計系,林彥良,95,158.48,101.55,2009-01-01,2016-12-31
國內股票開放型一般股票型,統一台灣動力基金,48934304,1.4,0.15,錢素惠,女,淡江大學財務金融系,錢素惠,6,-45.17,-46.73,2008-06-01,2008-12-31
國內股票開放型一般股票型,統一台灣動力基金,48934304,1.4,0.15,尤文毅,男,輔仁大學金融研究所碩士,尤文毅,8,-18.3,-3.45,2007-09-13,2008-05-31
國內股票開放型一般股票型,安聯台灣智慧基金,48997911,4.0,0.15,廖哲宏,男,政治大學國貿碩士,廖哲宏,1,-1.52,-3.02,2021-07-01,
國內股票開放型一般股票型,安聯台灣智慧基金,48997911,4.0,0.15,鍾安綾,,台灣大學國際企業碩士,鍾安綾,26,150.24,64.32,2019-04-15,2021-06-30
國內股票開放型一般股票型,安聯台灣智慧基金,48997911,4.0,0.15,蕭惠中,女,朝陽科技大學 財務金融碩士,蕭惠中,90,228.05,46.85,2011-10-17,2019-04-14
國內股票開放型一般股票型,安聯台灣智慧基金,48997911,4.0,0.15,鍾兆陽,男,淡江大學產業經濟研究所,鍾兆陽,2,-4.09,-1.93,2011-08-25,2011-10-16
國內股票開放型一般股票型,安聯台灣智慧基金,48997911,4.0,0.15,王俊淵,男,政治大學 財務管理學系碩士,王俊淵,4,-9.08,-13.15,2011-04-20,2011-08-24
國內股票開放型一般股票型,安聯台灣智慧基金,48997911,4.0,0.15,鍾兆陽,男,淡江大學產業經濟研究所,鍾兆陽,36,15.7,-3.91,2008-04-24,2011-04-19
國內股票開放型一般股票型,瀚亞菁華基金,97990696,4.0,0.15,鄭行甫,,台灣大學財務金融碩士,鄭行甫,15,89.75,56.43,2020-05-22,
國內股票開放型一般股票型,瀚亞菁華基金,97990696,4.0,0.15,葉彥廷,男,政治大學財務管理碩士,葉彥廷,3,-5.44,-5.8,2020-02-24,2020-05-21
國內股票開放型一般股票型,瀚亞菁華基金,97990696,4.0,0.15,葉信良,男,"臺灣大學商學研究所
臺灣大學財務金融學系",葉信良,8,13.43,8.45,2019-06-20,2020-02-23
國內股票開放型一般股票型,瀚亞菁華基金,97990696,4.0,0.15,蘇育賢,,國立政治大學財管碩士,蘇育賢,2,-6.44,1.26,2019-04-01,2019-06-19
國內股票開放型一般股票型,瀚亞菁華基金,97990696,4.0,0.15,劉博玄,男,國立臺灣大學會計碩士,劉博玄,36,49.07,22.22,2016-03-14,2019-03-31
國內股票開放型一般股票型,瀚亞菁華基金,97990696,4.0,0.15,施勝發,男,美國卓克索大學財務研究所碩士,施勝發,7,-7.41,0.47,2015-08-01,2016-03-13
國內股票開放型一般股票型,瀚亞菁華基金,97990696,4.0,0.15,林俊宏,男,交通大學 管理科學研究所碩士,林俊宏,4,-7.43,-9.75,2015-03-03,2015-07-31
國內股票開放型一般股票型,瀚亞菁華基金,97990696,4.0,0.15,施勝發,男,美國卓克索大學財務研究所碩士,施勝發,8,-0.74,1.63,2014-07-31,2015-03-02
國內股票開放型一般股票型,瀚亞菁華基金,97990696,4.0,0.15,林俊宏,男,交通大學 管理科學研究所碩士,林俊宏,0,-2.38,-0.83,2014-07-04,2014-07-30
國內股票開放型一般股票型,瀚亞菁華基金,97990696,4.0,0.15,楊雅惠,女,美國德州休士頓大學企管碩士,楊雅惠,32,27.0,29.3,2011-11-14,2014-07-03
國內股票開放型一般股票型,瀚亞菁華基金,97990696,4.0,0.15,黃繼仁,男,成功大學財務金融碩士,黃繼仁,2,-8.49,-4.83,2011-09-01,2011-11-13
國內股票開放型一般股票型,瀚亞菁華基金,97990696,4.0,0.15,黃耀德,男,中山大學企管研究所碩士,黃耀德,19,-12.65,-5.46,2010-01-01,2011-08-31
國內股票開放型一般股票型,瀚亞菁華基金,97990696,4.0,0.15,魏永祥,男,國立中山大學企業管理碩士,魏永祥,30,-26.73,-4.5,2007-06-16,2009-12-31
國內股票開放型一般股票型,瀚亞菁華基金,97990696,4.0,0.15,葉永傑,男,美國紐約市立大學碩士,葉永傑,5,18.32,9.59,2007-01-01,2007-06-15
國內股票開放型一般股票型,瀚亞菁華基金,97990696,4.0,0.15,陳翠芝,女,淡江大學經濟學系,陳翠芝,11,19.51,19.48,2006-01-01,2006-12-31
國內股票開放型一般股票型,瀚亞菁華基金,97990696,4.0,0.15,伍忠信,男,逢甲大學經濟研究所碩士,伍忠信,9,-4.98,7.95,2005-03-28,2005-12-31
國內股票開放型一般股票型,瀚亞菁華基金,97990696,4.0,0.15,傅兆康,男,淡江大學管理科學研究所碩士,傅兆康,12,-16.42,-11.94,2004-03-01,2005-03-27
國內股票開放型一般股票型,瀚亞菁華基金,97990696,4.0,0.15,陳翠芝,女,淡江大學經濟學系,陳翠芝,28,86.94,85.61,2001-10-01,2004-02-29
國內股票開放型一般股票型,瀚亞菁華基金,97990696,4.0,0.15,王振華,男,中山大學財務管理研究所碩士,王振華,36,-37.62,-49.13,1998-09-19,2001-09-30
國內股票開放型一般股票型,瀚亞菁華基金,97990696,4.0,0.15,廖繼弘,男,,廖繼弘,12,-25.59,-28.64,1997-09-01,1998-09-18
國內股票開放型一般股票型,瀚亞菁華基金,97990696,4.0,0.15,陳國清,男,中央大學產業經濟研究所碩士,陳國清,1,17.3,2.1,1997-07-16,1997-08-31
國內股票開放型一般股票型,瀚亞菁華基金,97990696,4.0,0.15,陳奕鈞,男,,陳奕鈞,4,65.12,19.16,1997-03-06,1997-07-15
國內股票開放型一般股票型,瀚亞菁華基金,97990696,4.0,0.15,余睿明,男,德州大學阿靈頓校區企管碩士,余睿明,5,25.3,23.12,1996-10-01,1997-03-05
國內股票開放型一般股票型,統一統信基金,77537493,1.4,0.15,楊雪幸,女,中央大學產業經濟研究所,楊雪幸,151,412.96,275.06,2009-01-01,
國內股票開放型一般股票型,統一統信基金,77537493,1.4,0.15,林海鵬,男,台灣大學國際企業研究所碩士,林海鵬,6,-51.45,-46.73,2008-06-01,2008-12-31
國內股票開放型一般股票型,統一統信基金,77537493,1.4,0.15,錢素惠,女,淡江大學財務金融系,錢素惠,20,2.24,29.01,2006-09-17,2008-05-31
國內股票開放型一般股票型,統一統信基金,77537493,1.4,0.15,董永寬,男,政治大學統計研究所,董永寬,16,48.8,12.74,2005-05-17,2006-09-16
國內股票開放型一般股票型,統一統信基金,77537493,1.4,0.15,黃慶和,男,成功大學交通管理學系,黃慶和,73,92.58,-18.71,1999-04-29,2005-05-16
